Postcode,In Use?,Latitude,Population,Longitude,Postcode district,Postcode area,Average Income,LSOA code,County
HA3 9DX,Yes,51.585958,,-0.284138,HA3,HA,54800,E01002165,Greater London
HA3 9EL,Yes,51.589807,72,-0.29978,HA3,HA,54800,E01002167,Greater London
HA3 9PD,Yes,51.591408,162,-0.290568,HA3,HA,54800,E01002169,Greater London
HA3 9RJ,Yes,51.583382,,-0.282786,HA3,HA,54100,E01000484,Greater London
HA4 0AA,Yes,51.573461,19,-0.413585,HA4,HA,62900,E01002470,Greater London
HA4 0AJ,Yes,51.556125,,-0.387891,HA4,HA,54200,E01002497,Greater London
HA4 0AN,Yes,51.570121,18,-0.411306,HA4,HA,70400,E01002469,Greater London
HA4 0AP,Yes,51.56796,34,-0.409116,HA4,HA,70400,E01002468,Greater London
HA4 0BG,Yes,51.556256,,-0.382419,HA4,HA,54200,E01002496,Greater London
HA4 0BT,Yes,51.564786,65,-0.409818,HA4,HA,70400,E01002466,Greater London
HA4 0DR,Yes,51.562954,45,-0.404025,HA4,HA,70400,E01002495,Greater London
HA4 0GE,Yes,51.557073,,-0.39466,HA4,HA,54200,E01002498,Greater London
HA4 0HT,Yes,51.562428,124,-0.385259,HA4,HA,54200,E01032577,Greater London
HA4 0NN,Yes,51.56348,35,-0.393748,HA4,HA,65900,E01002416,Greater London
HA4 0NP,Yes,51.567352,12,-0.395337,HA4,HA,65900,E01002421,Greater London
HA4 0TA,Yes,51.563645,61,-0.402572,HA4,HA,70400,E01002415,Greater London
HA4 6AJ,Yes,51.566652,131,-0.415438,HA4,HA,65100,E01002465,Greater London
HA4 6BZ,Yes,51.569224,62,-0.418162,HA4,HA,65100,E01002467,Greater London
HA4 6DQ,Yes,51.551976,,-0.409399,HA4,HA,54200,E01002499,Greater London
HA4 6ER,Yes,51.571216,,-0.425164,HA4,HA,62900,E01002535,Greater London
HA4 6LT,Yes,51.56113,7,-0.412701,HA4,HA,65100,E01002494,Greater London
HA4 7AH,Yes,51.574759,19,-0.431203,HA4,HA,59400,E01002534,Greater London
HA4 7AY,Yes,51.582563,68,-0.438584,HA4,HA,59400,E01002539,Greater London
HA4 7AZ,Yes,51.583107,31,-0.438912,HA4,HA,59400,E01002538,Greater London
HA4 7BH,Yes,51.584903,20,-0.432658,HA4,HA,62900,E01002434,Greater London
HA4 7DF,Yes,51.571836,,-0.431203,HA4,HA,65100,E01002536,Greater London
HA4 7DJ,Yes,51.57022,79,-0.434707,HA4,HA,65100,E01002537,Greater London
HA4 7JS,Yes,51.579017,57,-0.442343,HA4,HA,59400,E01002533,Greater London
HA4 7JY,Yes,51.580388,9,-0.418482,HA4,HA,62900,E01002430,Greater London
HA4 7UT,Yes,51.58423,76,-0.412661,HA4,HA,59900,E01002436,Greater London
HA4 8AL,Yes,51.580104,34,-0.416745,HA4,HA,62900,E01002435,Greater London
HA4 8AT,Yes,51.57998,41,-0.410226,HA4,HA,59900,E01002433,Greater London
HA4 8BU,Yes,51.57677,8,-0.402328,HA4,HA,65900,E01002417,Greater London
HA4 8FD,Yes,51.572327,,-0.411546,HA4,HA,65900,E01002471,Greater London
HA4 8RL,Yes,51.578553,55,-0.404488,HA4,HA,68400,E01002432,Greater London
HA4 9BL,Yes,51.56985,40,-0.402629,HA4,HA,65900,E01002420,Greater London
HA4 9DL,Yes,51.575345,,-0.397263,HA4,HA,68400,E01002419,Greater London
HA4 9NY,Yes,51.570686,44,-0.390767,HA4,HA,68400,E01002418,Greater London
HA5 1AA,Yes,51.594056,,-0.383279,HA5,HA,70400,E01002189,Greater London
HA5 1AB,Yes,51.593957,19,-0.38482,HA5,HA,70400,E01002192,Greater London
HA5 1AG,Yes,51.591412,18,-0.386108,HA5,HA,73500,E01002194,Greater London
HA5 1DH,Yes,51.5889,65,-0.383223,HA5,HA,70400,E01002193,Greater London
HA5 1ER,Yes,51.585153,48,-0.385406,HA5,HA,73500,E01002196,Greater London
HA5 1HP,Yes,51.58532,63,-0.382347,HA5,HA,73500,E01002195,Greater London
HA5 1HZ,Yes,51.580645,22,-0.381943,HA5,HA,73500,E01002191,Greater London
HA5 1PF,Yes,51.577602,78,-0.390811,HA5,HA,68400,E01002431,Greater London
HA5 1SH,Yes,51.583664,87,-0.394206,HA5,HA,68400,E01002437,Greater London
HA5 2AA,Yes,51.598426,34,-0.393736,HA5,HA,60300,E01002186,Greater London
HA5 2AT,Yes,51.595149,65,-0.39832,HA5,HA,59900,E01002480,Greater London
HA5 2DH,Yes,51.599254,116,-0.407907,HA5,HA,57400,E01002485,Greater London
HA5 2FF,Yes,51.59102,,-0.413198,HA5,HA,59900,E01002479,Greater London
HA5 2HR,Yes,51.592188,111,-0.401383,HA5,HA,59900,E01002481,Greater London
HA5 3AE,Yes,51.600205,,-0.397189,HA5,HA,60300,E01002185,Greater London
HA5 3AR,Yes,51.597061,50,-0.374531,HA5,HA,70400,E01002188,Greater London
HA5 3DE,Yes,51.605444,12,-0.396918,HA5,HA,60300,E01002190,Greater London
HA5 3DX,Yes,51.602259,45,-0.383673,HA5,HA,60300,E01002187,Greater London
HA5 3PU,Yes,51.603907,11,-0.383802,HA5,HA,53700,E01002152,Greater London
HA5 3RP,Yes,51.60926,53,-0.382053,HA5,HA,67600,E01002149,Greater London
HA5 3TT,Yes,51.60002,49,-0.405325,HA5,HA,57400,E01002483,Greater London
HA5 4AA,Yes,51.614826,65,-0.370357,HA5,HA,67600,E01002147,Greater London
HA5 4AJ,Yes,51.623011,6,-0.368322,HA5,HA,53300,E01023810,Hertfordshire
HA5 4EA,Yes,51.608476,12,-0.362526,HA5,HA,53700,E01002150,Greater London
HA5 4EL,Yes,51.613772,93,-0.372836,HA5,HA,67600,E01002146,Greater London
HA6 1AB,Yes,51.611561,,-0.422945,HA6,HA,57400,E01002478,Greater London
HA6 1AP,Yes,51.610511,17,-0.415139,HA6,HA,60700,E01002482,Greater London
HA6 1AR,Yes,51.609266,27,-0.415219,HA6,HA,57400,E01002474,Greater London
HA6 1BP,Yes,51.60481,24,-0.416832,HA6,HA,57400,E01002484,Greater London
HA6 2AA,Yes,51.613458,36,-0.426288,HA6,HA,60700,E01002476,Greater London
HA6 2AD,Yes,51.612656,7,-0.426171,HA6,HA,60700,E01002477,Greater London
HA6 2AR,Yes,51.618304,68,-0.426914,HA6,HA,83500,E01023839,Hertfordshire
HA6 2AZ,Yes,51.623342,43,-0.433509,HA6,HA,83500,E01023841,Hertfordshire
HA6 2BD,Yes,51.612421,13,-0.426742,HA6,HA,57400,E01002472,Greater London
HA6 2BJ,Yes,51.611351,,-0.439575,HA6,HA,60700,E01002475,Greater London
HA6 2DR,Yes,51.612669,,-0.443358,HA6,HA,60700,E01002473,Greater London
HA6 2HU,Yes,51.631694,,-0.415896,HA6,HA,55600,E01023827,Hertfordshire
HA6 3BF,Yes,51.623784,,-0.412509,HA6,HA,83500,E01023840,Hertfordshire
HA7 1AA,Yes,51.605553,58,-0.302326,HA7,HA,65300,E01002110,Greater London
HA7 1AH,Yes,51.606373,30,-0.29997,HA7,HA,57300,E01002117,Greater London
HA7 1AQ,Yes,51.602519,78,-0.306396,HA7,HA,60400,E01002107,Greater London
HA7 1AT,Yes,51.596988,,-0.294546,HA7,HA,63300,E01002203,Greater London
HA7 1EJ,Yes,51.593721,,-0.286323,HA7,HA,57700,E01000594,Greater London
HA7 1HD,Yes,51.598014,115,-0.292168,HA7,HA,63300,E01002200,Greater London
HA7 2ED,Yes,51.60507,77,-0.309758,HA7,HA,65300,E01002109,Greater London
HA7 2EN,Yes,51.603897,68,-0.311572,HA7,HA,65300,E01002108,Greater London
HA7 2JG,Yes,51.597671,43,-0.31137,HA7,HA,60400,E01002197,Greater London
HA7 2QT,Yes,51.614198,43,-0.313197,HA7,HA,57700,E01002226,Greater London
HA7 2QZ,Yes,51.614997,6,-0.313052,HA7,HA,56200,E01002229,Greater London
HA7 3AG,Yes,51.620037,79,-0.317748,HA7,HA,57700,E01002225,Greater London
HA7 3AT,Yes,51.617036,47,-0.321701,HA7,HA,56200,E01002228,Greater London
HA7 3BG,Yes,51.615927,61,-0.3335,HA7,HA,56200,E01002227,Greater London
HA7 3HX,Yes,51.630815,24,-0.336832,HA7,HA,54700,E01023548,Hertfordshire
HA7 3LL,Yes,51.614093,38,-0.328835,HA7,HA,56200,E01002230,Greater London
HA7 4AP,Yes,51.630243,,-0.310262,HA7,HA,57700,E01002114,Greater London
HA7 4BS,Yes,51.618524,,-0.303003,HA7,HA,57300,E01002115,Greater London
HA7 4JH,Yes,51.621046,35,-0.305374,HA7,HA,57700,E01002112,Greater London
HA7 4LS,Yes,51.625144,25,-0.295903,HA7,HA,59300,E01000188,Greater London
HA7 4QN,Yes,51.619844,73,-0.296289,HA7,HA,57300,E01002113,Greater London
HA8 0AB,Yes,51.606801,22,-0.271981,HA8,HA,51000,E01000125,Greater London
HA8 0AX,Yes,51.601775,85,-0.26836,HA8,HA,51000,E01000129,Greater London
HA8 0AZ,Yes,51.601675,20,-0.26447,HA8,HA,51000,E01000128,Greater London
HA8 0DP,Yes,51.599056,20,-0.259627,HA8,HA,51000,E01000131,Greater London
HA8 0DZ,Yes,51.603182,42,-0.256326,HA8,HA,53900,E01000130,Greater London
HA8 0HN,Yes,51.605087,160,-0.25944,HA8,HA,51000,E01000127,Greater London
HA8 0JD,Yes,51.60618,121,-0.253159,HA8,HA,53900,E01000133,Greater London
HA8 0ND,Yes,51.606849,94,-0.25517,HA8,HA,53900,E01000132,Greater London
HA8 0QP,Yes,51.608283,32,-0.264392,HA8,HA,51000,E01000134,Greater London
HA8 0ZR,Yes,51.613244,,-0.277832,HA8,HA,53500,E01000193,Greater London
HA8 5AL,Yes,51.607301,87,-0.276613,HA8,HA,55600,E01002119,Greater London
HA8 5AN,Yes,51.607351,1,-0.27497,HA8,HA,53500,E01000194,Greater London
HA8 5AS,Yes,51.605131,20,-0.27566,HA8,HA,55600,E01002122,Greater London
HA8 5AX,Yes,51.604318,18,-0.279845,HA8,HA,55600,E01002121,Greater London
HA8 5BE,Yes,51.6013,81,-0.273981,HA8,HA,55600,E01002123,Greater London
HA8 5DP,Yes,51.599606,77,-0.274377,HA8,HA,63300,E01002125,Greater London
HA8 5FB,Yes,51.598764,111,-0.266006,HA8,HA,57700,E01000592,Greater London
HA8 5JG,Yes,51.596851,17,-0.26436,HA8,HA,57700,E01000587,Greater London
HA8 5LR,Yes,51.596837,144,-0.272576,HA8,HA,57700,E01000593,Greater London
HA8 5PF,Yes,51.597,37,-0.279991,HA8,HA,63300,E01002198,Greater London
HA8 5RR,Yes,51.600319,13,-0.278855,HA8,HA,63300,E01002124,Greater London
HA8 6DX,Yes,51.606886,,-0.285799,HA8,HA,55600,E01002120,Greater London
HA8 6JX,Yes,51.610713,4,-0.280388,HA8,HA,57300,E01002118,Greater London
HA8 6LU,Yes,51.610569,16,-0.288366,HA8,HA,57300,E01002116,Greater London
HA8 7AR,Yes,51.614443,52,-0.27538,HA8,HA,53500,E01000192,Greater London
HA8 7QA,Yes,51.616852,21,-0.280396,HA8,HA,59300,E01000190,Greater London
HA8 8AA,Yes,51.618601,72,-0.288131,HA8,HA,59300,E01000189,Greater London
HA8 8AR,Yes,51.628184,16,-0.269282,HA8,HA,59300,E01000187,Greater London
HA8 8BF,Yes,51.621999,28,-0.281907,HA8,HA,59300,E01000191,Greater London
HA8 8BY,Yes,51.621418,,-0.264405,HA8,HA,56400,E01000232,Greater London
HA8 8DJ,Yes,51.621791,,-0.27446,HA8,HA,59300,E01000186,Greater London
HA8 8EW,Yes,51.628967,25,-0.265091,HA8,HA,56400,E01000195,Greater London
HA8 8SU,Yes,51.626077,16,-0.270345,HA8,HA,56400,E01000230,Greater London
HA8 8XE,Yes,51.627419,96,-0.265852,HA8,HA,56400,E01000229,Greater London
HA8 9BJ,Yes,51.608994,22,-0.269318,HA8,HA,53500,E01000226,Greater London
HA8 9BT,Yes,51.610474,26,-0.259465,HA8,HA,53900,E01000235,Greater London
HA8 9GR,Yes,51.614792,,-0.26124,HA8,HA,56400,E01000233,Greater London
HA8 9LA,Yes,51.612613,131,-0.267708,HA8,HA,53500,E01000227,Greater London
HA8 9NU,Yes,51.61606,42,-0.259612,HA8,HA,53900,E01000234,Greater London
HA8 9SX,Yes,51.623024,142,-0.259923,HA8,HA,56400,E01000231,Greater London
HA9 0AA,Yes,51.558132,,-0.282843,HA9,HA,51800,E01033424,Greater London
HA9 0AD,Yes,51.561877,76,-0.277566,HA9,HA,51800,E01000615,Greater London
HA9 0BX,Yes,51.554802,,-0.285542,HA9,HA,51800,E01000617,Greater London
HA9 0JE,Yes,51.561484,,-0.282535,HA9,HA,51800,E01033457,Greater London
HA9 1ZW,Yes,51.566527,,-0.273999,HA9,HA,49200,E01000481,Greater London
HA9 6AG,Yes,51.552967,2,-0.28737,HA9,HA,54200,E01000636,Greater London
HA9 6DG,Yes,51.546547,41,-0.274655,HA9,HA,54200,E01000621,Greater London
HA9 6DH,Yes,51.547361,90,-0.278633,HA9,HA,54200,E01000620,Greater London
HA9 6JA,Yes,51.548054,73,-0.273199,HA9,HA,51800,E01000618,Greater London
HA9 6JG,Yes,51.549535,10,-0.271181,HA9,HA,51800,E01000619,Greater London
HA9 7BG,Yes,51.560648,46,-0.301878,HA9,HA,59000,E01000577,Greater London
HA9 7FP,Yes,51.567077,,-0.299812,HA9,HA,59000,E01000575,Greater London
HA9 7JN,Yes,51.557905,45,-0.299989,HA9,HA,53000,E01000570,Greater London
HA9 7LE,Yes,51.560252,54,-0.297478,HA9,HA,53000,E01000571,Greater London
HA9 7NX,Yes,51.563794,156,-0.294922,HA9,HA,53000,E01000576,Greater London
HA9 7SB,Yes,51.558234,105,-0.290866,HA9,HA,54200,E01000616,Greater London
HA9 8BY,Yes,51.562883,9,-0.284265,HA9,HA,53000,E01000578,Greater London
HA9 8FL,Yes,51.57073,,-0.308046,HA9,HA,59000,E01000574,Greater London
HA9 8PN,Yes,51.569859,11,-0.295878,HA9,HA,59000,E01000573,Greater London
HA9 8RF,Yes,51.572185,85,-0.306816,HA9,HA,59000,E01000572,Greater London
HA9 9AB,Yes,51.564454,34,-0.277916,HA9,HA,49200,E01000482,Greater London
HA9 9BP,Yes,51.562138,29,-0.266014,HA9,HA,49200,E01000483,Greater London
HA9 9DZ,Yes,51.565488,7,-0.26632,HA9,HA,49200,E01000479,Greater London
HA9 9JU,Yes,51.565747,14,-0.276626,HA9,HA,54100,E01000480,Greater London
HA9 9PJ,Yes,51.57129,118,-0.286662,HA9,HA,54100,E01000486,Greater London
HP1 1AB,Yes,51.749771,10,-0.48828,HP1,HP,63900,E01023379,Hertfordshire
HP1 1AE,Yes,51.757385,30,-0.476218,HP1,HP,50200,E01023391,Hertfordshire
HP1 1AG,Yes,51.750011,,-0.475524,HP1,HP,48100,E01023398,Hertfordshire
HP1 1AW,Yes,51.751564,,-0.485171,HP1,HP,63900,E01023382,Hertfordshire
HP1 1BF,Yes,51.755928,,-0.474274,HP1,HP,48100,E01023400,Hertfordshire
HP1 1BW,Yes,51.755556,,-0.48582,HP1,HP,63900,E01023380,Hertfordshire
HP1 1GW,Yes,51.764175,,-0.43934,HP1,HP,49600,E01023345,Hertfordshire
HP1 1HR,Yes,51.757638,,-0.473601,HP1,HP,50200,E01023399,Hertfordshire
HP1 1QJ,Yes,51.74863,57,-0.488304,HP1,HP,63900,E01023381,Hertfordshire
HP1 1RU,Yes,51.755553,10,-0.491057,HP1,HP,48200,E01023429,Hertfordshire
HP1 2AF,Yes,51.746572,42,-0.493979,HP1,HP,51400,E01023384,Hertfordshire
HP1 2AU,Yes,51.751817,61,-0.494905,HP1,HP,51400,E01023385,Hertfordshire
HP1 2BL,Yes,51.744721,2,-0.500566,HP1,HP,51400,E01023383,Hertfordshire
HP1 2DY,Yes,51.743297,,-0.525251,HP1,HP,56700,E01023378,Hertfordshire
HP1 2DZ,Yes,51.760637,,-0.498502,HP1,HP,48200,E01023427,Hertfordshire
HP1 2HN,Yes,51.759776,37,-0.505595,HP1,HP,48200,E01023428,Hertfordshire
HP1 2RF,Yes,51.738808,,-0.515737,HP1,HP,56700,E01023377,Hertfordshire
HP1 2RT,Yes,51.745443,27,-0.528361,HP1,HP,68600,E01023367,Hertfordshire
HP1 2RY,Yes,51.74969,20,-0.525144,HP1,HP,72600,E01023362,Hertfordshire
HP1 3AD,Yes,51.764364,,-0.490271,HP1,HP,48200,E01023392,Hertfordshire
HP1 3DA,Yes,51.7841,11,-0.524218,HP1,HP,55400,E01023355,Hertfordshire
HP1 3DB,Yes,51.788888,7,-0.541206,HP1,HP,55400,E01023356,Hertfordshire
HP1 3EF,Yes,51.760628,42,-0.48857,HP1,HP,50200,E01023390,Hertfordshire
HP10 0AA,Yes,51.589328,70,-0.681431,HP10,HP,56900,E01017935,Buckinghamshire
HP10 0AN,Yes,51.600863,,-0.689312,HP10,HP,56900,E01017934,Buckinghamshire
HP10 0AQ,Yes,51.58576,,-0.680504,HP10,HP,56900,E01017936,Buckinghamshire
HP10 0HR,Yes,51.593978,6,-0.690025,HP10,HP,58400,E01017864,Buckinghamshire
HP10 0JH,Yes,51.573881,17,-0.687145,HP10,HP,58400,E01017849,Buckinghamshire
HP10 0JR,Yes,51.580814,2,-0.671978,HP10,HP,67400,E01017833,Buckinghamshire
HP10 0LB,Yes,51.580699,9,-0.670538,HP10,HP,69900,E01017801,Buckinghamshire
HP10 0LJ,Yes,51.582123,4,-0.657435,HP10,HP,69900,E01017800,Buckinghamshire
HP10 0NT,Yes,51.608176,6,-0.681197,HP10,HP,56900,E01017939,Buckinghamshire
HP10 8AA,Yes,51.640314,6,-0.693667,HP10,HP,60300,E01017784,Buckinghamshire
HP10 8AE,Yes,51.641455,69,-0.69599,HP10,HP,66800,E01017942,Buckinghamshire
HP10 8AY,Yes,51.636021,6,-0.693063,HP10,HP,66800,E01017937,Buckinghamshire
HP10 8BP,Yes,51.641091,105,-0.704555,HP10,HP,66800,E01017938,Buckinghamshire
HP10 8HA,Yes,51.647024,5,-0.714759,HP10,HP,56400,E01017883,Buckinghamshire
HP10 8HG,Yes,51.622561,36,-0.702824,HP10,HP,66800,E01017940,Buckinghamshire
HP10 8LE,Yes,51.635854,4,-0.684498,HP10,HP,60300,E01017783,Buckinghamshire
HP10 8WF,Yes,51.622161,,-0.770389,HP10,HP,64300,E01017838,Buckinghamshire
HP10 9AA,Yes,51.601498,42,-0.711761,HP10,HP,58400,E01017868,Buckinghamshire
HP10 9AD,Yes,51.597766,42,-0.712516,HP10,HP,58400,E01017865,Buckinghamshire
HP10 9AE,Yes,51.607257,,-0.73997,HP10,HP,72200,E01017866,Buckinghamshire
HP10 9BT,Yes,51.603488,67,-0.711171,HP10,HP,58400,E01017867,Buckinghamshire
HP10 9EF,Yes,51.611732,,-0.702084,HP10,HP,56100,E01017941,Buckinghamshire
HP10 9FA,Yes,51.612888,,-0.735192,HP10,HP,56100,E01017909,Buckinghamshire
HP11 1AA,Yes,51.627751,,-0.748018,HP11,HP,64300,E01017839,Buckinghamshire
HP11 1AB,Yes,51.616181,,-0.747883,HP11,HP,64300,E01017841,Buckinghamshire
HP11 1AD,Yes,51.625143,29,-0.737876,HP11,HP,56100,E01017910,Buckinghamshire
HP11 1AJ,Yes,51.612822,25,-0.71287,HP11,HP,56100,E01017908,Buckinghamshire
HP11 1FG,Yes,51.625466,26,-0.756387,HP11,HP,64300,E01017837,Buckinghamshire
HP11 1TD,Yes,51.618794,13,-0.765771,HP11,HP,64300,E01017840,Buckinghamshire
HP11 1TH,Yes,51.614273,39,-0.769389,HP11,HP,50000,E01017845,Buckinghamshire
HP11 2AP,Yes,51.631338,12,-0.769245,HP11,HP,64300,E01017836,Buckinghamshire
HP11 2FA,Yes,51.632742,,-0.766413,HP11,HP,49700,E01017905,Buckinghamshire
HP11 2PL,Yes,51.632566,156,-0.768498,HP11,HP,49700,E01017904,Buckinghamshire
HP12 3AD,Yes,51.635513,,-0.774666,HP12,HP,60200,E01017913,Buckinghamshire
HP12 3DB,Yes,51.634223,56,-0.780336,HP12,HP,60200,E01017912,Buckinghamshire
HP12 3EJ,Yes,51.62957,79,-0.775577,HP12,HP,49700,E01017903,Buckinghamshire
HP12 3EN,Yes,51.627828,143,-0.777503,HP12,HP,49700,E01017906,Buckinghamshire
HP12 3FL,Yes,51.624256,,-0.780454,HP12,HP,49700,E01017907,Buckinghamshire
HP12 4AD,Yes,51.64078,55,-0.784519,HP12,HP,68700,E01017853,Buckinghamshire
HP12 4AP,Yes,51.657535,6,-0.783426,HP12,HP,58800,E01017862,Buckinghamshire
HP12 4BW,Yes,51.613098,13,-0.791301,HP12,HP,50000,E01017844,Buckinghamshire
HP12 4DG,Yes,51.634179,77,-0.789946,HP12,HP,60200,E01017914,Buckinghamshire
HP12 4DX,Yes,51.622688,48,-0.789125,HP12,HP,50000,E01017843,Buckinghamshire
HP12 4ES,Yes,51.623945,66,-0.786303,HP12,HP,60200,E01017911,Buckinghamshire
HP13 5AA,Yes,51.642313,96,-0.736325,HP13,HP,63200,E01017922,Buckinghamshire
HP13 5AE,Yes,51.644496,45,-0.732,HP13,HP,63200,E01017920,Buckinghamshire
HP13 5AH,Yes,51.634638,31,-0.758174,HP13,HP,58800,E01017858,Buckinghamshire
HP13 5AL,Yes,51.648936,,-0.778872,HP13,HP,58800,E01017861,Buckinghamshire
HP13 5BD,Yes,51.64391,54,-0.738901,HP13,HP,63200,E01017921,Buckinghamshire
HP13 5BH,Yes,51.638966,74,-0.744862,HP13,HP,63200,E01017924,Buckinghamshire
HP13 5BU,Yes,51.641124,,-0.753873,HP13,HP,58800,E01017859,Buckinghamshire
HP13 5DR,Yes,51.633241,,-0.751854,HP13,HP,63200,E01017923,Buckinghamshire
HP13 5DW,Yes,51.639275,,-0.762637,HP13,HP,58800,E01017857,Buckinghamshire
HP13 5GN,Yes,51.640151,20,-0.778862,HP13,HP,58800,E01017863,Buckinghamshire
HP13 5JS,Yes,51.639564,,-0.764465,HP13,HP,58800,E01017860,Buckinghamshire
HP13 6AJ,Yes,51.631059,27,-0.743751,HP13,HP,58400,E01017919,Buckinghamshire
HP13 6AS,Yes,51.626825,6,-0.734593,HP13,HP,58400,E01017851,Buckinghamshire
HP13 6BX,Yes,51.636603,96,-0.735795,HP13,HP,58400,E01017852,Buckinghamshire
HP13 6DH,Yes,51.635645,5,-0.729169,HP13,HP,52900,E01017927,Buckinghamshire
HP13 6HT,Yes,51.630891,27,-0.735592,HP13,HP,58400,E01017850,Buckinghamshire
HP13 6JX,Yes,51.633867,45,-0.729788,HP13,HP,52900,E01017928,Buckinghamshire
HP13 7AA,Yes,51.628141,,-0.717228,HP13,HP,48800,E01017899,Buckinghamshire
HP13 7DD,Yes,51.624608,14,-0.711858,HP13,HP,48800,E01017900,Buckinghamshire
HP13 7FT,Yes,51.624522,16,-0.724544,HP13,HP,52900,E01017925,Buckinghamshire
HP13 7FY,Yes,51.631306,,-0.711475,HP13,HP,48800,E01017902,Buckinghamshire
HP13 7HY,Yes,51.633401,137,-0.715814,HP13,HP,48800,E01017901,Buckinghamshire
HP13 7NG,Yes,51.629785,91,-0.722345,HP13,HP,52900,E01017926,Buckinghamshire
HP14 3AN,Yes,51.659047,11,-0.894605,HP14,HP,53100,E01017918,Buckinghamshire
HP14 3AY,Yes,51.636377,2,-0.822198,HP14,HP,68700,E01017854,Buckinghamshire
HP14 3BG,Yes,51.659027,,-0.916212,HP14,HP,53100,E01017917,Buckinghamshire
HP14 3BQ,Yes,51.618821,,-0.838021,HP14,HP,50000,E01017855,Buckinghamshire
HP14 3BX,Yes,51.617842,8,-0.830015,HP14,HP,50000,E01017856,Buckinghamshire
HP14 3EF,Yes,51.650244,,-0.916335,HP14,HP,53100,E01017915,Buckinghamshire
HP14 3EW,Yes,51.658458,,-0.874763,HP14,HP,53100,E01017916,Buckinghamshire
HP14 3HZ,Yes,51.605708,2,-0.827786,HP14,HP,72200,E01017875,Buckinghamshire
HP14 3XT,Yes,51.638676,88,-0.915259,HP14,HP,68700,E01017878,Buckinghamshire
HP14 3YJ,Yes,51.667418,2,-0.92515,HP14,HP,59900,E01028598,Oxfordshire
HP14 3YL,Yes,51.658625,,-0.945547,HP14,HP,53900,E01028679,Oxfordshire
HP14 4AA,Yes,51.667261,59,-0.83961,HP14,HP,68700,E01017842,Buckinghamshire
HP14 4DQ,Yes,51.671702,,-0.786164,HP14,HP,69100,E01017874,Buckinghamshire
HP14 4ER,Yes,51.672674,,-0.784489,HP14,HP,69100,E01017872,Buckinghamshire
HP14 4LA,Yes,51.650867,17,-0.755504,HP14,HP,69100,E01017870,Buckinghamshire
HP14 4LL,Yes,51.668551,60,-0.757753,HP14,HP,69100,E01017869,Buckinghamshire
HP14 4XA,Yes,51.680013,114,-0.795552,HP14,HP,62200,E01017888,Buckinghamshire
HP15 6AA,Yes,51.662323,105,-0.732852,HP15,HP,69100,E01017873,Buckinghamshire
HP15 6AE,Yes,51.654733,1,-0.725744,HP15,HP,56400,E01017880,Buckinghamshire
HP15 6AN,Yes,51.665886,3,-0.697645,HP15,HP,60300,E01017774,Buckinghamshire
HP15 6AS,Yes,51.674539,12,-0.729995,HP15,HP,69100,E01017871,Buckinghamshire
HP15 6AX,Yes,51.659135,,-0.69098,HP15,HP,60300,E01032609,Buckinghamshire
HP15 6AZ,Yes,51.675977,,-0.719608,HP15,HP,59900,E01017785,Buckinghamshire
HP15 6NF,Yes,51.66424,,-0.692394,HP15,HP,60300,E01017773,Buckinghamshire
HP15 6TZ,Yes,51.661672,11,-0.706123,HP15,HP,56400,E01032610,Buckinghamshire
HP15 7AD,Yes,51.658221,87,-0.711166,HP15,HP,56400,E01017881,Buckinghamshire
HP15 7BP,Yes,51.651039,13,-0.710603,HP15,HP,56400,E01017882,Buckinghamshire
HP15 7LH,Yes,51.650993,,-0.712637,HP15,HP,56400,E01017884,Buckinghamshire
HP16 0AA,Yes,51.70314,,-0.706735,HP16,HP,59900,E01017768,Buckinghamshire
HP16 0AF,Yes,51.695932,7,-0.741044,HP16,HP,59900,E01017788,Buckinghamshire
HP16 0DH,Yes,51.685571,2,-0.68375,HP16,HP,62400,E01017778,Buckinghamshire
HP16 0DL,Yes,51.685713,27,-0.695239,HP16,HP,59900,E01017779,Buckinghamshire
HP16 0LD,Yes,51.696301,47,-0.731803,HP16,HP,59900,E01017786,Buckinghamshire
HP16 0NN,Yes,51.698543,34,-0.736312,HP16,HP,59900,E01017787,Buckinghamshire
HP16 0QU,Yes,51.704622,12,-0.683914,HP16,HP,62400,E01017752,Buckinghamshire
HP16 9JH,Yes,51.729933,25,-0.688725,HP16,HP,62400,E01017766,Buckinghamshire
HP16 9PT,Yes,51.726397,17,-0.773456,HP16,HP,62200,E01017886,Buckinghamshire
HP16 9PW,Yes,51.725323,27,-0.741884,HP16,HP,58300,E01017726,Buckinghamshire
HP17 8AA,Yes,51.76797,36,-0.926553,HP17,HP,59100,E01017677,Buckinghamshire
HP17 8AN,Yes,51.766678,53,-0.932772,HP17,HP,59100,E01017675,Buckinghamshire
HP17 8DR,Yes,51.772731,22,-0.925092,HP17,HP,59100,E01017680,Buckinghamshire
HP17 8DT,Yes,51.774562,87,-0.924788,HP17,HP,59100,E01017676,Buckinghamshire
HP17 8NH,Yes,51.804857,52,-0.856437,HP17,HP,59100,E01017678,Buckinghamshire
HP17 8PF,Yes,51.803955,11,-0.858881,HP17,HP,59100,E01017679,Buckinghamshire
HP17 8QB,Yes,51.818553,,-0.809475,HP17,HP,48100,E01017663,Buckinghamshire
HP17 8SS,Yes,51.769203,17,-0.822411,HP17,HP,62200,E01017885,Buckinghamshire
